"job_id","job_title","salary_year_avg","companyname","job_id (1)","skill_id","skill_id (1)","skills","type"
21321,"Data Engineer","325000","Engtal",21321,1,1,"python","programming"
21321,"Data Engineer","325000","Engtal",21321,92,92,"spark","libraries"
21321,"Data Engineer","325000","Engtal",21321,93,93,"pandas","libraries"
21321,"Data Engineer","325000","Engtal",21321,94,94,"numpy","libraries"
21321,"Data Engineer","325000","Engtal",21321,95,95,"pyspark","libraries"
21321,"Data Engineer","325000","Engtal",21321,97,97,"hadoop","libraries"
21321,"Data Engineer","325000","Engtal",21321,98,98,"kafka","libraries"
21321,"Data Engineer","325000","Engtal",21321,213,213,"kubernetes","other"
157003,"Data Engineer","325000","Engtal",157003,1,1,"python","programming"
157003,"Data Engineer","325000","Engtal",157003,92,92,"spark","libraries"
157003,"Data Engineer","325000","Engtal",157003,93,93,"pandas","libraries"
157003,"Data Engineer","325000","Engtal",157003,94,94,"numpy","libraries"
157003,"Data Engineer","325000","Engtal",157003,95,95,"pyspark","libraries"
157003,"Data Engineer","325000","Engtal",157003,97,97,"hadoop","libraries"
157003,"Data Engineer","325000","Engtal",157003,98,98,"kafka","libraries"
157003,"Data Engineer","325000","Engtal",157003,213,213,"kubernetes","other"
270455,"Data Engineer","300000","Durlston Partners",270455,0,0,"sql","programming"
270455,"Data Engineer","300000","Durlston Partners",270455,1,1,"python","programming"
230458,"Director of Engineering - Data Platform","251000","Twitch",230458,92,92,"spark","libraries"
230458,"Director of Engineering - Data Platform","251000","Twitch",230458,97,97,"hadoop","libraries"
230458,"Director of Engineering - Data Platform","251000","Twitch",230458,98,98,"kafka","libraries"
230458,"Director of Engineering - Data Platform","251000","Twitch",230458,99,99,"tensorflow","libraries"
230458,"Director of Engineering - Data Platform","251000","Twitch",230458,100,100,"keras","libraries"
230458,"Director of Engineering - Data Platform","251000","Twitch",230458,101,101,"pytorch","libraries"
561728,"Data Engineer","250000","AI Startup",561728,1,1,"python","programming"
561728,"Data Engineer","250000","AI Startup",561728,3,3,"scala","programming"
561728,"Data Engineer","250000","AI Startup",561728,5,5,"r","programming"
561728,"Data Engineer","250000","AI Startup",561728,74,74,"azure","cloud"
543728,"Staff Data Engineer","250000","Signify Technology",543728,1,1,"python","programming"
543728,"Staff Data Engineer","250000","Signify Technology",543728,3,3,"scala","programming"
543728,"Staff Data Engineer","250000","Signify Technology",543728,75,75,"databricks","cloud"
543728,"Staff Data Engineer","250000","Signify Technology",543728,92,92,"spark","libraries"
595768,"Principal Data Engineer","250000","Signify Technology",595768,1,1,"python","programming"
595768,"Principal Data Engineer","250000","Signify Technology",595768,3,3,"scala","programming"
595768,"Principal Data Engineer","250000","Signify Technology",595768,75,75,"databricks","cloud"
595768,"Principal Data Engineer","250000","Signify Technology",595768,92,92,"spark","libraries"
151972,"Principal Data Engineer (Remote)","245000","Movable Ink",151972,2,2,"nosql","programming"
151972,"Principal Data Engineer (Remote)","245000","Movable Ink",151972,76,76,"aws","cloud"
151972,"Principal Data Engineer (Remote)","245000","Movable Ink",151972,81,81,"gcp","cloud"
204320,"Staff Data Engineer","245000","Handshake",204320,8,8,"go","programming"
2446,"Data Engineering Manager","242000","Meta",2446,0,0,"sql","programming"
2446,"Data Engineering Manager","242000","Meta",2446,1,1,"python","programming"
2446,"Data Engineering Manager","242000","Meta",2446,4,4,"java","programming"
2446,"Data Engineering Manager","242000","Meta",2446,31,31,"perl","programming"
